Symbol,Company Name,Market cap,Beta,P/E,Price,Volume,Annual Return,Cluster
VOLTAMP.NS,Voltamp Transformers Limited,149914730240,0.253,35.05,10366.4,29845,2.5901,0
WELSPUNLIV.NS,Welspun Living Limited,126335040000,0.353,0.0,130.0,1916110,1.1456,0
ANANTRAJ.NS,Anant Raj Limited,121405494100,0.458,46.68,355.1,1670813,1.6206,0
STERTOOLS.NS,Sterling Tools Limited,12887657550,0.711,23.67,357.75,36365,-0.2351,1
RAJMET.NS,Rajnandini Metal Limited,2820096000,-0.174,15.97,10.2,852294,-0.0144,0
BHARATGEAR.NS,Bharat Gears Limited,1609214480,1.112,-16.96,104.8,21620,-0.026,1
AJOONI.NS,Ajooni Biotech Limited,1033839300,1.289,3.36,5.9,711245,0.7333,1
AROGRANITE.NS,Aro Granite Industries Limited,795438756,0.62,57.87,50.4,30932,0.1957,0
REDINGTON.NS,Redington (India) Limited,163390766000,1.007,13.35,209.0,1295356,0.2611,1
ERIS.NS,Eris Lifesciences Limited,124802715450,0.414,34.05,917.35,208029,0.463,0
MEDICO.NS,Medico Remedies Limited,2958379600,0.117,36.75,35.65,67323,-0.35,0
KEYFINSERV.NS,Keynote Financial Services Limited,1202943191,0.817,4.52,164.9,1851,0.8052,1
IRCTC.NS,Indian Railway Catering & Tourism Corporation Limited,735120000000,0.422,70.18,918.9,8796235,0.6447,0
PVRINOX.NS,PVR INOX Limited,129615915520,0.583,-403.7,1320.8,376301,-0.1302,1
AVTNPL.NS,AVT Natural Products Limited,12449217000,0.474,23.94,81.75,260271,0.026,0
DBOL.NS,Dhampur Bio Organics Limited,7870248795,1.5267361,17.29,118.55,149973,-0.0801,1
VEDL.NS,Vedanta Limited,1638170040000,1.412,15.75,440.7,16636339,0.0955,1
